"name","current_rank","nationality","facebook","instagram","twitter","youtube","website","birthday","age","turned_pro","weight_kg","weight_lbs","height","height_cm","birth_city","birth_country","handed","style","coach(es)","rank2021","win2021","lose2021","titles2021","prizemoney2021","bestrank","bestranktime","win","lose","titles","prizemoney"
"Feliciano Lopez",106,"ESP","https://www.facebook.com/FelicianoLopezTP","https://www.instagram.com/felilopezoficial/","https://twitter.com/feliciano_lopez",NA,NA,1981-09-20,40,1997,"88","194","6'2","188","Toledo","Spain","Left-Handed","One-Handed Backhand",NA,"106","11","20","0",586860,12,2015-03-02,503,475,7,18222353
"Guillermo Garcia-Lopez",463,"ESP",NA,"https://www.instagram.com/ggl83/","https://twitter.com/GuillermoGLopez",NA,NA,1983-06-04,38,2002,"80","176","6'1","185","La Roda (Albacete)","Spain","Right-Handed","One-Handed Backhand","Juan Manuel Esparcia","463","0","0","0",19105,23,2011-02-21,297,354,5,8451851
"Philipp Kohlschreiber",114,"GER","https://www.facebook.com/PhilippKohlschreiber.Official/",NA,"https://twitter.com/kohlscribbler","https://www.youtube.com/kohliatp",NA,1983-10-16,38,2001,"70","154","5'10","178","Augsburg","Germany","Right-Handed","One-Handed Backhand","Markus Hipfl","114","7","9","0",425799,16,2012-07-30,477,384,8,13557239
"Yen-Hsun Lu",525,"TPE","https://www.facebook.com/LuRendy","https://www.instagram.com/lurendy/","https://twitter.com/LuRendy",NA,NA,1983-08-14,38,2001,"74","163","5'11","180","Taipei","Chinese Taipei","Right-Handed","Two-Handed Backhand","Stephen Koon","525","1","3","0",28095,86,2005-01-31,63,94,3,5179843
"Andrey Golubev",28,"KAZ",NA,"https://www.instagram.com/andreygolubev87/?hl=en",NA,NA,NA,1987-07-22,34,2005,"77","169","5'11","180","Volzhskij","Russia","Right-Handed","One-Handed Backhand","Yuri Schukin, Massimo Puci","28","22","24","0",229302,25,2021-11-08,58,82,0,2937163
"Florian Mayer",NA,"GER","https://www.facebook.com/FlorianMayerTennis",NA,"https://twitter.com/flomayer",NA,NA,1983-10-05,NA,2001,"82","180","6'3","191","Bayreuth","Germany","Right-Handed","Two-Handed Backhand","Tobias Summerer",NA,NA,NA,NA,NA,18,2011-06-06,243,261,2,7278992
"Juan Ignacio Chela",NA,"ARG",NA,NA,"https://twitter.com/JuanIChela",NA,NA,1979-08-30,NA,1998,"75","165","6'3","191","Buenos Aires","Argentina","Right-Handed","Two-Handed Backhand","Pablo Fuente",NA,NA,NA,NA,NA,15,2004-08-09,326,277,6,6572494
"Jarkko Nieminen",NA,"FIN",NA,"https://www.instagram.com/jarkkonieminenofficial/?hl=en",NA,NA,NA,1981-07-23,NA,2000,"78","172","6'1","185","Masku","Finland","Left-Handed","Two-Handed Backhand","Jan de Witt",NA,NA,NA,NA,NA,13,2006-07-10,408,348,2,7743345
"Denis Istomin",254,"UZB",NA,"https://www.instagram.com/istomin.denis/?hl=en",NA,NA,NA,1986-09-07,35,2004,"86","189","6'1","185","Orenburg","Russia","Right-Handed","Two-Handed Backhand","Klaudiya Istomina","254","0","4","0",152098,33,2012-08-13,229,265,2,6297540
"Gilles Simon",122,"FRA",NA,"https://www.instagram.com/gilles.simon84/","https://twitter.com/GillesSimon84",NA,NA,1984-12-27,36,2002,"70","154","6'0","183","Nice","France","Right-Handed","Two-Handed Backhand","Etienne Laforgue","122","5","17","0",346699,6,2009-01-05,497,386,14,15674913
"Marcel Granollers",7,"ESP",NA,"https://www.instagram.com/marcelgranollers/","https://twitter.com/M_Granollers",NA,NA,1986-04-12,35,2003,"80","176","6'3","191","Barcelona","Spain","Right-Handed","Two-Handed Backhand","Victor Carceller","7","28","15","2",557337,4,2013-02-25,424,266,23,11638773
"Thiemo de Bakker",1748,"NED",NA,NA,"https://twitter.com/thiemodebakker",NA,"http://thiemodebakker.com",1988-09-19,33,NA,"83","182","6'4","193","The Hague","The Netherlands","Right-Handed","Two-Handed Backhand","Remko de Rijke, Huib Troost",NA,NA,NA,NA,NA,40,2010-07-19,70,94,0,1828800
"Julien Benneteau",NA,"FRA","https://www.facebook.com/JulienBenneteauOfficiel",NA,"https://twitter.com/julienbenneteau",NA,NA,1981-12-20,NA,2000,"79","174","6'1","185","Bourg-en-Bresse","France","Right-Handed","Two-Handed Backhand","Antoine Benneteau",NA,NA,NA,NA,NA,25,2014-11-17,273,297,0,9556742
"Jeremy Chardy",58,"FRA","https://www.facebook.com/jeremychardyofficiel/","https://www.instagram.com/jimchardy/","https://twitter.com/jimchardy",NA,NA,1987-02-12,34,2005,"75","165","6'2","188","Pau","France","Right-Handed","Two-Handed Backhand","Philipp Wagner","58","16","16","0",131942,24,2020-02-03,171,181,7,10535763
"Sergiy Stakhovsky",220,"UKR","https://www.facebook.com/StakoTennis","https://www.instagram.com/stako_s/","https://twitter.com/Stako_tennis",NA,"http://www.stakhovskywines.com",1986-01-06,35,2003,"80","176","6'4","193","Kiev","Ukraine","Right-Handed","One-Handed Backhand","Burghard Riehemann","220","2","4","0",157783,31,2010-09-27,177,215,4,5588908
"Potito Starace",NA,"ITA",NA,NA,NA,NA,NA,1981-07-14,NA,2001,"84","185","6'2","188","Benevento","Italy","Right-Handed","Two-Handed Backhand","Fabrizio Fanucci",NA,NA,NA,NA,NA,27,2007-10-15,162,193,0,3796316
"Alexandr Dolgopolov",NA,"UKR",NA,"https://www.instagram.com/alexdolgopolov/","https://www.twitter.com/TheDolgo",NA,"http://www.alexdolgopolov.com",1988-11-07,NA,2006,"71","157","5'11","180","Kiev","Ukraine","Right-Handed","Two-Handed Backhand","Stas Khmarskiy",NA,NA,NA,NA,NA,13,2012-01-16,221,201,3,7125771
"Janko Tipsarevic",485,"SRB","https://www.facebook.com/pages/Janko-Tipsarevic-Official/141927235835621","https://www.instagram.com/tipsarevicjanko/","https://twitter.com/TipsarevicJanko","https://www.youtube.com/user/TipsarevicTennis","http://www.tipsarevicacademy.com",1984-06-22,37,2002,"80","176","5'11","180","Belgrade","Serbia","Right-Handed","Two-Handed Backhand","Dirk Hordorff, Rainer Schuettler",NA,NA,NA,NA,NA,8,2012-04-02,288,257,4,8616024
"Tommy Robredo",331,"ESP",NA,"https://www.instagram.com/tommyrobredo/","https://twitter.com/TRobredo",NA,"http://www.tommy-robredo.com",1982-05-01,39,1998,"75","165","5'11","180","Hostalric","Spain","Right-Handed","One-Handed Backhand","Jose Luis Aparisi","331","0","0","0",48850,5,2006-08-28,533,357,12,13454740
"Victor Hanescu",NA,"ROU",NA,NA,NA,NA,"http://www.victorhanescu.com",1981-07-21,NA,2000,"88","194","6'6","198","Bucharest","Romania","Right-Handed","One-Handed Backhand","Florian Arsenescu,Dave Dehaan, & Julius Barbat",NA,NA,NA,NA,NA,26,2009-07-06,201,244,1,4330340
"Andreas Seppi",102,"ITA",NA,NA,NA,NA,"https://instagram.com/andyseppio",1984-02-21,37,2002,"78","172","6'3","191","Bolzano","Italy","Right-Handed","Two-Handed Backhand","Massimo Sartori","102","7","13","0",581925,18,2013-01-28,384,417,3,11568844
"Benjamin Becker",NA,"GER",NA,NA,NA,NA,NA,1981-06-16,NA,2005,"72","158","5'10","178","Merzig","Germany","Right-Handed","Two-Handed Backhand","Andrei Pavel",NA,NA,NA,NA,NA,35,2014-10-27,153,220,1,4399584
"Lleyton Hewitt",NA,"AUS",NA,NA,"https://twitter.com/lleytonhewitt",NA,NA,1981-02-24,40,1998,"77","170","5'10","178","Adelaide","Australia","Right-Handed","Two-Handed Backhand","Tony Roche and Jaymon Crabb",NA,NA,NA,NA,NA,1,2001-11-19,616,262,30,20889965
"Fabio Fognini",37,"ITA","https://www.facebook.com/pages/Fabio-Fognini/524791750914192","https://www.instagram.com/fabiofogna/","https://twitter.com/fabiofogna",NA,"http://www.fabiofognini.eu/",1987-05-24,34,2004,"79","174","5'10","178","Sanremo","Italy","Right-Handed","Two-Handed Backhand",NA,"37","22","24","0",1147946,9,2019-07-15,386,339,9,16310779
"Daniel Gimeno-Traver",630,"ESP","https://www.facebook.com/pages/Daniel-Gimeno-Traver/40795704018",NA,"https://twitter.com/dani_gimeno",NA,NA,1985-08-07,36,2004,"80","176","6'0","183","Valencia","Spain","Right-Handed","Two-Handed Backhand","Jorge Montesinos & Sergio Gallego","630","0","0","0",534,48,2013-03-18,97,173,0,3286850
"Philipp Petzschner",NA,"GER","https://www.facebook.com/pages/Philipp-Petzschner/136037483125004","https://www.instagram.com/petzsche/",NA,NA,"http://www.philipp-petzschner.de",1984-03-24,NA,2001,"77","170","6'1","185","Bayreuth","Germany","Right-Handed","One-Handed Backhand","Stefan Eriksson",NA,NA,NA,NA,NA,9,2011-04-04,177,173,8,4024417
"Michael Berrer",NA,"GER",NA,NA,NA,NA,"http://michael-berrer.de",1980-07-01,NA,1999,"100","220","6'4","193","Stuttgart","Germany","Left-Handed","One-Handed Backhand","Kevin Sorensen",NA,NA,NA,NA,NA,42,2010-05-24,88,145,0,2766701
"Mikhail Kukushkin",182,"KAZ",NA,"https://www.instagram.com/kukushkin_mikhail/",NA,NA,NA,1987-12-26,33,2006,"72","159","6'0","183","Volgograd","Russia","Right-Handed","Two-Handed Backhand",NA,"182","5","13","0",369219,39,2019-02-25,171,222,1,6505577
"Xavier Malisse",524,"BEL","https://www.facebook.com/XavierMalisse",NA,"https://twitter.com/xmalissesite",NA,"http://www.xaviermalissesite.be/",1980-07-19,41,1998,"83","183","6'1","185","Kortrijk","Belgium","Right-Handed","Two-Handed Backhand",NA,"524","2","1","0",5089,25,2011-11-07,131,114,9,5699914
"Kevin Anderson",80,"RSA","https://www.facebook.com/KAndersonATP/","https://www.instagram.com/kandersonatp/","https://twitter.com/kandersonatp",NA,NA,1986-05-18,35,2007,"94","208","6'8","203","Johannesburg","South Africa","Right-Handed","Two-Handed Backhand","Diego Moyano, Jay Bosworth","80","13","13","1",557939,5,2018-07-16,353,248,7,17609241
"Radek Stepanek",NA,"CZE",NA,NA,"https://twitter.com/stepec78",NA,NA,1978-11-27,NA,1996,"76","167","6'1","185","Karvina","Czech Republic","Right-Handed","Two-Handed Backhand","Petr Korda",NA,NA,NA,NA,NA,8,2006-07-10,384,302,5,11343464
"Pablo Cuevas",97,"URU","https://www.facebook.com/PabloCuevastennis","https://www.instagram.com/pablocuevas86/","https://www.twitter.com/PabloCuevas22",NA,"http://www.pablocuevas.uy/",1986-01-01,35,2004,"78","173","5'11","180","Concordia","Argentina","Right-Handed","One-Handed Backhand","Facundo Savio","97","9","11","0",446768,19,2016-08-15,238,217,6,9468753
"Santiago Giraldo",580,"COL","https://www.facebook.com/santigiraldotennis","https://www.instagram.com/santigiraldosg/","https://twitter.com/SantiGiraldoSG","https://www.youtube.com/channel/UC_tkzoAnTIoEjOTOINx_egA","http://www.santigiraldo.com/",1987-11-27,34,2004,"75","166","6'2","188","Pereira","Colombia","Right-Handed","Two-Handed Backhand","Felipe Beron",NA,NA,NA,NA,NA,28,2014-09-29,168,205,0,4541251
"Robin Haase",230,"NED","https://www.facebook.com/RobinHaaseOfficial","https://www.instagram.com/robin_haase/","https://twitter.com/robin_haase",NA,NA,1987-04-06,34,2005,"77","170","6'3","191","The Hague","The Netherlands","Right-Handed","Two-Handed Backhand","Raymond Knaap","230","2","3","0",164708,33,2012-07-30,232,270,2,7665053
"Carlos Berlocq",NA,"ARG","https://www.facebook.com/CarlosBerlocq",NA,"https://twitter.com/charlyberlocq","https://www.youtube.com/user/charlyberlocq",NA,1983-02-03,NA,2001,"81","178","6'0","183","Chascomus","Argentina","Right-Handed","One-Handed Backhand","Juan Martin Aranguren",NA,NA,NA,NA,NA,37,2012-03-19,134,193,2,4253764
"Tobias Kamke",255,"GER",NA,"https://www.instagram.com/tobiaskamke/",NA,NA,NA,1986-05-21,35,2004,"76","167","5'10","178","Lubeck","Germany","Right-Handed","Two-Handed Backhand","Ralph Grambow, Julian Reister","255","0","0","0",104789,64,2011-01-31,63,103,0,2529631
"Fernando Gonzalez",NA,"CHI",NA,NA,"https://twitter.com/elfergonzalez",NA,"http://www.gonzaleztenis.com",1980-07-29,NA,1999,"82","180","6'0","183","Santiago","Chile","Right-Handed","One-Handed Backhand",NA,NA,NA,NA,NA,NA,5,2007-01-29,370,202,11,8862276
"Florent Serra",NA,"FRA",NA,NA,NA,NA,NA,1981-02-28,NA,2000,"78","171","5'11","180","Bordeaux","France","Right-Handed","Two-Handed Backhand","Jerome Haehnel",NA,NA,NA,NA,NA,36,2006-06-26,123,170,2,2969796
"Lukasz Kubot",34,"POL","https://www.facebook.com/%C5%81ukasz-Kubot-98450103581","https://www.instagram.com/kubot.lukasz","https://twitter.com/LukaszKubot",NA,NA,1982-05-16,39,2002,"88","194","6'3","191","Boleslawiec","Poland","Right-Handed","Two-Handed Backhand","Jan Stoces","34","16","18","0",161540,1,2018-01-08,431,287,27,8615804
"Pablo Andujar",91,"ESP","https://www.facebook.com/pabloandujaroficial","https://www.instagram.com/pabloandujaroficial/","https://twitter.com/AndujarPablo","https://www.youtube.com/channel/UCNtX2LjnxSAL1TRtnIYVfoA","https://www.pabloandujar.com/",1986-01-23,35,2003,"80","176","5'11","180","Cuenca","Spain","Right-Handed","Two-Handed Backhand","Carlos Calderon-Rodriguez","91","12","17","0",657509,32,2015-07-13,154,225,4,6434169
"Pere Riba",NA,"ESP",NA,"https://www.instagram.com/pereriba88/","https://www.twitter.com/pereribamadrid",NA,NA,1988-04-07,33,2004,"78","173","6'0","183","Barcelona","Spain","Right-Handed","Two-Handed Backhand","Edu Grosso",NA,NA,NA,NA,NA,65,2011-05-16,24,62,0,1363982
"Ivo Karlovic",279,"CRO",NA,"https://www.instagram.com/ivokarlovic/","https://twitter.com/ivokarlovic",NA,NA,1979-02-28,42,2000,"104","230","6'11","211","Zagreb","Croatia","Right-Handed","One-Handed Backhand","Goran Dragicevic, Mirko Pehar","279","2","4","0",127981,14,2008-08-18,371,346,8,10160232
"Eduardo Schwank",NA,"ARG",NA,NA,NA,NA,NA,1986-04-23,NA,2005,"83","182","6'0","183","Rosario","Argentina","Right-Handed","Two-Handed Backhand","Roberto Alvarez",NA,NA,NA,NA,NA,48,2010-06-07,40,65,0,1648048
"Dudi Sela",381,"ISR",NA,NA,NA,NA,NA,1985-04-04,36,2002,"65","144","5'9","175","Kiryat Shmonna","Israel","Right-Handed","One-Handed Backhand","Yoav Ben Zvi","381","0","0","0",18784,29,2009-07-20,143,195,0,3935113
"Ricardo Mello",NA,"BRA",NA,NA,NA,NA,NA,1980-12-21,NA,1999,"73","161","5'9","175","Campinas","Brazil","Left-Handed","Two-Handed Backhand","Carlos Albano",NA,NA,NA,NA,NA,50,2005-07-25,60,94,1,1484044
"Ruben Ramirez Hidalgo",NA,"ESP",NA,NA,"https://twitter.com/RRHidalgo",NA,NA,1978-01-06,43,1998,"74","163","6'0","183","Alicante","Spain","Right-Handed","Two-Handed Backhand",NA,NA,NA,NA,NA,NA,50,2006-10-02,68,133,0,2346407
"Arnaud Clement",NA,"FRA",NA,NA,NA,NA,"http://arnaudclement.com",1977-12-17,NA,1996,"74","163","5'8","173","Aix-en-Provence","France","Right-Handed","Two-Handed Backhand","Bruno Clément",NA,NA,NA,NA,NA,10,2001-04-02,316,327,4,7125228
"Igor Andreev",NA,"RUS",NA,NA,NA,NA,NA,1983-07-14,NA,2002,"80","176","6'1","185","Moscow","Russia","Right-Handed","Two-Handed Backhand","Francisco Fogues",NA,NA,NA,NA,NA,18,2008-11-03,237,231,3,4510376
"Teymuraz Gabashvili",281,"RUS",NA,NA,NA,NA,NA,1985-05-23,36,2001,"87","191","6'1","185","Tbilisi","Georgia","Right-Handed","Two-Handed Backhand",NA,"281","0","0","0",32614,43,2016-02-01,116,199,0,4228299
"Illya Marchenko",163,"UKR","https://www.facebook.com/IllyaMarchenkoATP/","https://www.instagram.com/i.marchello/","https://twitter.com/imarchello","https://www.youtube.com/channel/UCptZKvcfQsJkcay1FfCMLMw?view_as=subscriber",NA,1987-09-08,34,2006,"87","191","6'1","185","Dneprodzerzhinsk","Ukraine","Right-Handed","Two-Handed Backhand","Filip Havaj","163","5","7","0",210004,49,2016-09-26,67,95,0,2267182
"Mischa Zverev",348,"GER",NA,"https://www.instagram.com/mischazverevofficial/",NA,NA,"https://www.topcourt.com/p/mischa-zverev",1987-08-22,34,2005,"88","195","6'3","191","Moscow","Russia","Left-Handed","Two-Handed Backhand","Alexander Zverev Sr., Arturs Kazijevs, Mikhail Ledovskikh","348","0","1","0",41646,25,2017-07-24,133,199,1,5737288
"Adrian Mannarino",71,"FRA","https://www.facebook.com/AdrianMannarino","https://www.instagram.com/AdrianMannarino/","https://twitter.com/AdrianMannarino",NA,NA,1988-06-29,33,2004,"79","174","5'11","180","Soisy-sous-Montmorency","France","Left-Handed","Two-Handed Backhand","Erwann Tortuyaux","71","14","26","0",768887,22,2018-03-19,217,262,1,8536183
